,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct
0,108525,rh,prcus2,184.0,142.0,391.0,2.867,0.333,0.139,0.028,2.0,0.2,-0.3226586580276489,0.27171480655670166,-0.1770213097333908,0.5733580589294434
0,108525,rh,prcus3,837.0,616.0,1400.0,2.45,0.303,0.095,0.015,3.0,0.6,0.42149949073791504,1.144252896308899,0.231248676776886,0.48990416526794434
0,108525,rh,MCGS,1242.0,897.0,1909.0,2.325,0.426,0.098,0.013,5.0,0.8,0.4982191324234009,1.170164942741394,0.2733396291732788,0.46494951844215393
0,108525,rh,sbps,439.0,294.0,840.0,3.055,0.461,0.106,0.027,2.0,0.4,0.41394636034965515,1.121720552444458,0.2271047979593277,0.611078143119812
0,108525,rh,2,39.0,30.0,124.0,3.491,0.325,0.109,0.017,0.0,0.0,-0.05815676972270012,0.00772381667047739,-0.03190673887729645,0.6982364654541016
0,108525,rh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,108525,rh,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,108525,rh,x,131.0,92.0,322.0,3.582,0.235,0.12,0.025,1.0,0.1,-0.05984558165073395,0.3069645166397095,-0.032833281904459,0.7163822054862976
0,108525,rh,y,214.0,154.0,415.0,2.778,0.425,0.128,0.03,1.0,0.3,0.03684099763631821,0.3222566246986389,0.020212193951010704,0.555587887763977
0,108525,rh,isms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,108525,rh,w,85.0,67.0,172.0,2.42,0.308,0.079,0.013,0.0,0.1,0.39431098103523254,0.7012261748313904,0.21633215248584747,0.48404660820961
0,108828,lh,POS,1647.0,1187.0,2407.0,2.322,0.425,0.108,0.018,9.0,1.3,0.6069334745407104,1.5309207439422607,0.3277263939380646,0.46434658765792847
0,108828,lh,prculs,122.0,85.0,212.0,2.554,0.237,0.105,0.01,1.0,0.0,0.1484593152999878,0.6251683831214905,0.08016370981931686,0.5107940435409546
0,108828,lh,prcus1,759.0,526.0,1126.0,2.287,0.287,0.097,0.015,3.0,0.5,0.010927977040410042,0.5392223000526428,0.005900789052248001,0.4574403166770935
0,108828,lh,prcus2,597.0,421.0,1019.0,2.627,0.338,0.111,0.022,3.0,0.5,0.3273914158344269,1.2088115215301514,0.17678183317184448,0.5254181623458862
0,108828,lh,prcus3,101.0,77.0,198.0,2.587,0.223,0.142,0.014,1.0,0.1,0.31235000491142273,0.6512793898582458,0.16865991055965424,0.51739901304245
0,108828,lh,MCGS,1062.0,744.0,1575.0,2.33,0.365,0.118,0.022,6.0,1.1,0.4628695845603943,1.1943976879119873,0.24993611872196198,0.46603021025657654
0,108828,lh,sbps,994.0,705.0,1532.0,2.532,0.418,0.123,0.025,6.0,1.1,0.5639343857765198,1.2685928344726562,0.30450817942619324,0.5063959956169128
0,108828,lh,2,122.0,89.0,265.0,3.245,0.357,0.138,0.034,1.0,0.2,0.17915213108062744,0.3601015508174896,0.09673693776130676,0.6490157842636108
0,108828,lh,1,89.0,74.0,255.0,3.513,0.476,0.142,0.053,1.0,0.1,0.14548517763614655,0.28974834084510803,0.07855775207281113,0.7025469541549683
0,108828,lh,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,108828,lh,x,108.0,75.0,204.0,3.143,0.49,0.158,0.047,1.0,0.2,-0.2390560358762741,-0.03659537807106972,-0.1290832906961441,0.6286167502403259
0,108828,lh,y,69.0,46.0,134.0,3.055,0.284,0.121,0.02,0.0,0.1,-0.1727927029132843,0.1584407538175583,-0.09330303221940994,0.611028254032135
0,108828,lh,isms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
