,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct
0,c30,rh,prculs,309.0,214.0,403.0,1.782,0.538,0.074,0.01,1.0,0.1,-0.01953398995101452,0.8243482112884521,-0.009807802736759186,0.3564983904361725
0,c30,rh,prcus1,33.0,32.0,116.0,2.829,0.55,0.12,0.016,0.0,0.0,-0.556631326675415,-0.3825344443321228,-0.27947843074798584,0.5657002925872803
0,c30,rh,prcus2,68.0,55.0,196.0,3.198,0.602,0.074,0.013,0.0,0.0,-0.1853061020374298,-0.021962657570838928,-0.09304013103246689,0.6395472884178162
0,c30,rh,prcus3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c30,rh,MCGS,1277.0,887.0,1671.0,2.005,0.444,0.071,0.01,3.0,0.6,0.5989269614219666,1.410664439201355,0.3007145822048187,0.4010447561740875
0,c30,rh,sbps,163.0,106.0,390.0,3.962,0.271,0.075,0.018,0.0,0.1,-0.12955941259860992,0.10382825136184692,-0.06505035609006882,0.7924598455429077
0,c30,rh,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c30,rh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c30,rh,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c30,rh,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c30,rh,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c30,rh,isms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c30,rh,w,157.0,105.0,228.0,2.212,0.536,0.065,0.009,0.0,0.1,0.25401219725608826,0.6560248136520386,0.12753669917583466,0.4424644410610199
0,nc02,lh,POS,1955.0,1351.0,2396.0,2.087,0.728,0.095,0.018,9.0,1.4,0.6320298910140991,1.6270198822021484,0.3307448625564575,0.4173833727836609
0,nc02,lh,prculs,273.0,183.0,280.0,1.549,0.315,0.058,0.006,0.0,0.1,0.004072894807904959,0.5598917007446289,0.002131367800757289,0.3098675608634949
0,nc02,lh,prcus1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,nc02,lh,prcus2,520.0,375.0,718.0,2.0,0.711,0.095,0.015,3.0,0.2,-0.07657677680253983,0.5684769153594971,-0.04007306694984436,0.40000399947166443
