"","sub","label","sulcal_depth_mm","hemi"
"179","c16","mcgs_db",13.114427081747,"lh"
"180","c17","mcgs_db",14.4180993765368,"lh"
"181","c18","mcgs_db",10.6291347346805,"lh"
"182","c20","mcgs_db",12.6967433982063,"lh"
"183","c22","mcgs_db",9.4328271329384,"lh"
"184","c23","mcgs_db",13.7604969415565,"lh"
"185","c25","mcgs_db",14.3069129619908,"lh"
"186","c28","mcgs_db",10.9755336436352,"lh"
"187","c29","mcgs_db",12.2862972057985,"lh"
"188","c30","mcgs_db",14.2682533749685,"lh"
"189","nc02","mcgs_db",9.7129533979206,"lh"
"190","nc03","mcgs_db",4.5943030925093,"lh"
"191","nc05","mcgs_db",17.3762618942885,"lh"
"192","nc06","mcgs_db",11.3889048712977,"lh"
"193","nc09","mcgs_db",12.2369202202921,"lh"
"194","nc10","mcgs_db",10.758379412101,"lh"
"195","nc11","mcgs_db",14.4964063830342,"lh"
"196","nc12","mcgs_db",11.0126364866849,"lh"
"197","nc14","mcgs_db",11.5504867262449,"lh"
"198","nc15","mcgs_db",13.8883658561743,"lh"
"199","nc16","mcgs_db",12.0838482982547,"lh"
"200","nc17","mcgs_db",13.2138028207022,"lh"
"201","nc19","mcgs_db",16.7642036941988,"lh"
"202","nc20","mcgs_db",15.8587302922731,"lh"
"203","nc21","mcgs_db",11.7152958800227,"lh"
"204","nc22","mcgs_db",15.7760364462482,"lh"
"205","nc23","mcgs_db",14.5992898656011,"lh"
"206","nc24","mcgs_db",16.9960767879198,"lh"
"207","nc27","mcgs_db",15.4312088729391,"lh"
"208","nc28","mcgs_db",14.9477322659445,"lh"
"209","nc30","mcgs_db",14.6307253713491,"lh"
"210","nc31","mcgs_db",11.3797621321092,"lh"
"211","nc32","mcgs_db",11.1917926376459,"lh"
"212","c02","mcgs_mb",12.9758530717741,"rh"
"213","c04","mcgs_mb",14.9788438787207,"rh"
"214","c06","mcgs_mb",17.6479041245839,"rh"
"215","c07","mcgs_mb",15.8912934123626,"rh"
"216","c09","mcgs_mb",14.1539391521295,"rh"
"217","c10","mcgs_mb",14.0482867399793,"rh"
"218","c16","mcgs_mb",19.7955911440043,"rh"
"219","c17","mcgs_mb",16.6939556964948,"rh"
"220","c19","mcgs_mb",15.2021798155656,"rh"
"221","c23","mcgs_mb",15.4486183766592,"rh"
"222","c24","mcgs_mb",16.1701855716055,"rh"
"223","c25","mcgs_mb",16.7334790101046,"rh"
"224","c28","mcgs_mb",13.3905565568487,"rh"
"225","c29","mcgs_mb",16.3449738337032,"rh"
"226","c30","mcgs_mb",17.3274975230438,"rh"
"227","nc03","mcgs_mb",15.9728380369095,"rh"
"228","nc05","mcgs_mb",15.5954534199383,"rh"
"229","nc06","mcgs_mb",16.3973501069973,"rh"
"230","nc08","mcgs_mb",17.1171501588906,"rh"
"231","nc09","mcgs_mb",16.1529057950278,"rh"
"232","nc14","mcgs_mb",13.9473624679799,"rh"
"233","nc16","mcgs_mb",14.4810044315124,"rh"
"234","nc17","mcgs_mb",14.6197888965024,"rh"
"235","nc21","mcgs_mb",14.1981687975854,"rh"
"236","nc22","mcgs_mb",20.253086053911,"rh"
"237","nc24","mcgs_mb",16.5266832081178,"rh"
"238","nc25","mcgs_mb",18.7975757345644,"rh"
"239","nc26","mcgs_mb",12.701564157232,"rh"
"240","nc27","mcgs_mb",15.9082359859938,"rh"
"241","nc28","mcgs_mb",16.0258560809773,"rh"
"242","nc30","mcgs_mb",13.4409415518434,"rh"
"243","nc31","mcgs_mb",15.3907817630252,"rh"
"244","c02","mcgs_db",10.179791928203,"rh"
"245","c04","mcgs_db",15.6596510822773,"rh"
"246","c06","mcgs_db",12.0299034946702,"rh"
"247","c07","mcgs_db",14.6018329233203,"rh"
"248","c09","mcgs_db",13.3786070383235,"rh"
"249","c10","mcgs_db",11.0860943099353,"rh"
