"","sub","label","sulcal_width_mm","hemi"
"195",151829,"prcus_p",1.50055803804434,"lh"
"196",164939,"prcus_p",1.54789613221901,"lh"
"197",168240,"prcus_p",0.900751034203313,"lh"
"198",176744,"prcus_p",1.05046381327041,"lh"
"199",180937,"prcus_p",1.40799262764612,"lh"
"200",185947,"prcus_p",1.49248861526567,"lh"
"201",214019,"prcus_p",1.08004220093183,"lh"
"202",268749,"prcus_p",1.3576479774768,"lh"
"203",365343,"prcus_p",1.4503915201244,"lh"
"204",380036,"prcus_p",NA,"lh"
"205",517239,"prcus_p",1.27789420985922,"lh"
"206",522434,"prcus_p",0.854693863114235,"lh"
"207",531536,"prcus_p",1.12312668570202,"lh"
"208",566454,"prcus_p",0.975124352143033,"lh"
"209",585256,"prcus_p",1.37640344027613,"lh"
"210",622236,"prcus_p",0.886563208676457,"lh"
"211",644044,"prcus_p",1.20083927980498,"lh"
"212",679770,"prcus_p",1.21604490027583,"lh"
"213",687163,"prcus_p",1.67184913513133,"lh"
"214",867468,"prcus_p",1.19007271919006,"lh"
"215",910241,"prcus_p",1.41419930118062,"lh"
"216",959574,"prcus_p",1.96995693505725,"lh"
"217",100206,"prcus_i",1.64869569780543,"lh"
"218",100307,"prcus_i",1.15288892663399,"lh"
"219",100408,"prcus_i",1.11572406467571,"lh"
"220",100610,"prcus_i",1.26142330383303,"lh"
"221",101006,"prcus_i",1.28307543894212,"lh"
"222",101107,"prcus_i",0.9688355508058,"lh"
"223",101309,"prcus_i",0.868555957867567,"lh"
"224",101410,"prcus_i",1.14076319597401,"lh"
"225",101915,"prcus_i",1.25591431984022,"lh"
"226",102008,"prcus_i",1.68394999137869,"lh"
"227",102311,"prcus_i",1.15788855363132,"lh"
"228",102513,"prcus_i",1.31145432150517,"lh"
"229",102816,"prcus_i",1.09041840011785,"lh"
"230",103111,"prcus_i",1.2590516845787,"lh"
"231",103414,"prcus_i",1.29449592232575,"lh"
"232",103515,"prcus_i",0.737347879025356,"lh"
