"","sub","hemi","parietal_sa","cingulate_sa","cortex_sa","species"
"169","c14","lh",21535,3963,79988,"chimpanzee"
"170","c14","rh",22132,3431,80379,"chimpanzee"
"171","c15","lh",19988,3870,73894,"chimpanzee"
"172","c15","rh",21459,3580,75219,"chimpanzee"
"173","c16","lh",21906,4367,77192,"chimpanzee"
"174","c16","rh",22267,3630,78667,"chimpanzee"
"175","c17","lh",22382,3987,81172,"chimpanzee"
"176","c17","rh",23346,3791,80926,"chimpanzee"
"177","c18","lh",21356,3613,78298,"chimpanzee"
"178","c18","rh",20721,3099,77497,"chimpanzee"
"179","c19","lh",20234,4339,77436,"chimpanzee"
"180","c19","rh",20764,3240,77072,"chimpanzee"
"181","c20","lh",23406,3903,84909,"chimpanzee"
"182","c20","rh",22565,4228,87509,"chimpanzee"
"183","c21","lh",20522,3500,82590,"chimpanzee"
"184","c21","rh",20597,3281,79617,"chimpanzee"
"185","c22","lh",22074,3926,84958,"chimpanzee"
"186","c22","rh",21715,3562,84168,"chimpanzee"
"187","c23","lh",22126,3586,77883,"chimpanzee"
"188","c23","rh",21863,3360,78436,"chimpanzee"
"189","c24","lh",19950,3048,78144,"chimpanzee"
"190","c24","rh",21489,2953,78490,"chimpanzee"
"191","c25","lh",20929,3353,77249,"chimpanzee"
"192","c25","rh",20483,3097,76819,"chimpanzee"
"193","c26","lh",20994,3821,74949,"chimpanzee"
"194","c26","rh",21461,3482,74607,"chimpanzee"
"195","c27","lh",23311,4577,85373,"chimpanzee"
"196","c27","rh",24564,3780,83948,"chimpanzee"
"197","c28","lh",22058,4135,82391,"chimpanzee"
"198","c28","rh",22304,4247,83625,"chimpanzee"
"199","c29","lh",21155,4174,82270,"chimpanzee"
"200","c29","rh",21743,3477,83710,"chimpanzee"
"201","c30","lh",20144,3780,71366,"chimpanzee"
"202","c30","rh",19950,3366,71708,"chimpanzee"
"203","nc02","lh",22432,3738,78444,"chimpanzee"
"204","nc02","rh",22367,3311,77768,"chimpanzee"
"205","nc03","lh",23334,3577,84347,"chimpanzee"
"206","nc03","rh",24019,3545,84711,"chimpanzee"
"207","nc04","lh",19132,3218,74667,"chimpanzee"
"208","nc04","rh",18503,2950,75509,"chimpanzee"
"209","nc05","lh",21889,3757,75589,"chimpanzee"
"210","nc05","rh",20755,2929,73847,"chimpanzee"
"211","nc06","lh",22868,3955,83170,"chimpanzee"
"212","nc06","rh",23336,3918,83252,"chimpanzee"
"213","nc07","lh",23076,3863,83091,"chimpanzee"
"214","nc07","rh",21529,3092,82302,"chimpanzee"
"215","nc08","lh",22352,3579,82292,"chimpanzee"
"216","nc08","rh",22979,3625,83043,"chimpanzee"
"217","nc09","lh",21160,3662,80620,"chimpanzee"
"218","nc09","rh",22549,3377,78349,"chimpanzee"
"219","nc10","lh",21604,3720,78534,"chimpanzee"
"220","nc10","rh",20408,4276,78572,"chimpanzee"
"221","nc11","lh",21587,4441,80270,"chimpanzee"
"222","nc11","rh",20752,3224,76954,"chimpanzee"
"223","nc12","lh",22016,3853,80128,"chimpanzee"
"224","nc12","rh",22929,3421,82086,"chimpanzee"
"225","nc13","lh",20531,3494,78999,"chimpanzee"
"226","nc13","rh",19627,3051,77314,"chimpanzee"
"227","nc14","lh",23957,4081,86794,"chimpanzee"
"228","nc14","rh",23498,3575,84596,"chimpanzee"
"229","nc15","lh",20631,3351,75550,"chimpanzee"
"230","nc15","rh",21681,2883,77927,"chimpanzee"
"231","nc16","lh",21893,3185,76039,"chimpanzee"
"232","nc16","rh",20312,3209,79656,"chimpanzee"
"233","nc17","lh",24598,4156,87110,"chimpanzee"
"234","nc17","rh",24250,4016,84393,"chimpanzee"
"235","nc18","lh",23360,3603,78392,"chimpanzee"
"236","nc18","rh",23466,3415,79460,"chimpanzee"
"237","nc19","lh",21042,3051,79544,"chimpanzee"
"238","nc19","rh",23275,3544,80236,"chimpanzee"
"239","nc20","lh",21043,3533,77451,"chimpanzee"
"240","nc20","rh",20819,3133,77177,"chimpanzee"
"241","nc21","lh",21922,3197,77720,"chimpanzee"
"242","nc21","rh",20779,3279,75575,"chimpanzee"
"243","nc22","lh",23149,3584,83382,"chimpanzee"
"244","nc22","rh",22808,3970,83434,"chimpanzee"
"245","nc23","lh",19086,3119,74191,"chimpanzee"
"246","nc23","rh",20365,2953,78360,"chimpanzee"
"247","nc24","lh",21926,3870,77137,"chimpanzee"
"248","nc24","rh",22930,3806,78294,"chimpanzee"
"249","nc25","lh",20981,3116,77933,"chimpanzee"
"250","nc25","rh",22746,3367,79562,"chimpanzee"
"251","nc26","lh",22601,3807,78571,"chimpanzee"
"252","nc26","rh",22144,3035,77152,"chimpanzee"
"253","nc27","lh",21783,4141,82621,"chimpanzee"
