sub,hemi,mcgs_pattern,mcgs_db,mcgs_sb,species
107321,rh,single_cih,no,yes,human
107422,lh,trident,yes,yes,human
107422,rh,Y,yes,no,human
108121,lh,trident,yes,yes,human
108121,rh,trident,yes,yes,human
108222,lh,single_cih,no,yes,human
108222,rh,trident,yes,yes,human
108323,lh,Y,yes,no,human
108323,rh,single_cih,no,yes,human
108525,lh,single,no,no,human
108525,rh,single_cih,no,yes,human
108828,lh,trident,yes,yes,human
108828,rh,single_cih,no,yes,human
109123,lh,trident,yes,yes,human
109123,rh,trident,yes,yes,human
109325,lh,trident,yes,yes,human
109325,rh,trident,yes,yes,human
110007,lh,single,no,no,human
110007,rh,trident,yes,yes,human
110411,lh,single_cih,no,yes,human
110411,rh,trident,yes,yes,human
110613,lh,single_cih,no,yes,human
110613,rh,single,no,no,human
120111,lh,trident,yes,yes,human
120111,rh,trident,yes,yes,human
168240,lh,single_cih,no,yes,human
168240,rh,trident,yes,yes,human
c01,lh,Y,yes,no,chimpanzee
c01,rh,trident,yes,yes,chimpanzee
c02,lh,single,no,no,chimpanzee
c02,rh,Y,yes,no,chimpanzee
c03,lh,Y,yes,no,chimpanzee
c03,rh,trident,yes,yes,chimpanzee
c04,lh,Y,yes,no,chimpanzee
c04,rh,Y,yes,no,chimpanzee
c05,lh,trident,yes,yes,chimpanzee
c05,rh,trident,yes,yes,chimpanzee
c06,lh,trident,yes,yes,chimpanzee
c06,rh,Y,yes,no,chimpanzee
c07,lh,Y,yes,no,chimpanzee
c07,rh,Y,yes,no,chimpanzee
c09,lh,trident,yes,yes,chimpanzee
c09,rh,Y,yes,no,chimpanzee
c10,lh,Y,yes,no,chimpanzee
c10,rh,Y,yes,no,chimpanzee
c11,lh,Y,yes,no,chimpanzee
c11,rh,trident,yes,yes,chimpanzee
c12,lh,Y,yes,no,chimpanzee
c12,rh,single,no,no,chimpanzee
c13,lh,Y,yes,no,chimpanzee
c13,rh,trident,yes,yes,chimpanzee
c14,lh,trident,yes,yes,chimpanzee
c14,rh,trident,yes,yes,chimpanzee
c15,lh,trident,yes,yes,chimpanzee
c15,rh,trident,yes,yes,chimpanzee
c16,lh,Y,yes,no,chimpanzee
c16,rh,Y,yes,no,chimpanzee
c17,lh,Y,yes,no,chimpanzee
c17,rh,Y,yes,no,chimpanzee
c18,lh,Y,yes,no,chimpanzee
c18,rh,trident,yes,yes,chimpanzee
c19,lh,trident,yes,yes,chimpanzee
c19,rh,Y,yes,no,chimpanzee
c20,lh,Y,yes,no,chimpanzee
c20,rh,trident,yes,yes,chimpanzee
c21,lh,trident,yes,yes,chimpanzee
c21,rh,trident,yes,yes,chimpanzee
