,sub,hemi,label,X,vertices,total_surface_area_.mm.2.,total_gray_matter_volume_.mm.3.,cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct,pres_abs,sulcal_depth_mm
565,105115,lh,pos,0,891,646,1394,2.495,0.371,0.115,0.019,4,0.9,0.583391010761261,1.1500403881073,0.32252299785614,0.499001234769821,present,17.3489232742043
566,105115,lh,prculs_d,0,394,298,629,2.296,0.218,0.121,0.016,3,0.3,0.15494903922081,0.770610749721527,0.0856623202562332,0.459248661994934,present,11.3184652823986
567,105115,lh,prculs_v,0,194,130,366,2.825,0.427,0.118,0.018,1,0.2,0.220775008201599,0.772938847541809,0.122053675353527,0.564967334270477,present,10.1048290494313
568,105115,lh,prcus_a,0,291,206,524,2.453,0.407,0.11,0.016,1,0.2,0.317951530218124,1.01762115955353,0.175776928663254,0.490549921989441,present,13.246983801298
569,105115,lh,prcus_i,0,587,434,945,2.55,0.347,0.127,0.026,4,0.7,0.18081958591938,0.931996583938599,0.0999646335840225,0.509990394115448,present,12.5248651674114
570,105115,lh,prcus_p,0,129,97,291,3.294,0.296,0.157,0.022,1,0.2,-0.00959821417927742,0.405949711799622,-0.00530629558488727,0.658808648586273,present,3.5568523268251
571,105115,lh,spls,0,502,355,932,2.774,0.435,0.111,0.02,3,0.4,0.353213876485825,0.922957301139832,0.195271447300911,0.554878532886505,present,11.4508837979057
572,105115,lh,sspls_d,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
573,105115,lh,sspls_v,0,86,59,175,3.709,0.333,0.124,0.012,1,0.1,-0.295275568962097,-0.0179433450102806,-0.16324071586132,0.741797685623169,present,3.62026022890071
574,105115,lh,w,0,270,189,448,2.546,0.345,0.096,0.014,1,0.2,0.418474942445755,0.856386482715607,0.231350496411324,0.509180724620819,present,12.3532849786446
575,105115,rh,icgs_p,0,14,9,38,3.197,0.195,0.111,0.025,0,0,-0.0860539302229881,-0.0471487604081631,-0.0446553751826286,0.639300465583801,present,0.393416120191959
576,105115,rh,ifrms,0,52,38,199,3.706,0.302,0.122,0.024,0,0.1,-0.0369971245527267,0.0864258781075478,-0.0191986635327339,0.741130471229553,present,0.578515051871345
577,105115,rh,isms,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
578,105115,rh,mcgs,0,890,641,1436,2.447,0.439,0.115,0.017,5,0.7,0.337951153516769,1.18203735351562,0.175370648503304,0.48938325047493,present,12.784273620018
