"","sub","hemi","label","X","vertices","total_surface_area_.mm.2.","total_gray_matter_volume_.mm.3.","cortical_thickness_mean","cortical_thickness_std","rectified_mean_curvature","rectified_Gaussian_curvature","folding_index","intrinsic_curvature_index","sulcal_depth_mean","sulcal_depth_max","sulcal_depth_mean_pct","cortical_thickness_mean_pct","pres_abs","sulcal_depth_mm"
"619","c24","lh","isms",0,86,57,187,3.23,0.465,0.059,0.008,0,0,-0.329114586114883,-0.267028391361237,-0.169032752513885,0.645983874797821,"present",1.74589388482708
"620","c24","lh","mcgs",0,1572,1064,1975,2.045,0.667,0.084,0.016,7,1,0.592649579048157,1.59461045265198,0.304383963346481,0.408923119306564,"present",20.8912152489688
"621","c24","lh","pos",0,1689,1152,1760,1.749,0.544,0.089,0.016,7,1,0.556468963623047,1.64197599887848,0.285801649093628,0.349894344806671,"present",19.2811933171554
"622","c24","lh","prculs_d",0,303,210,444,2.346,0.712,0.095,0.015,1,0.1,0.25154447555542,1.11415350437164,0.129192858934402,0.469220966100693,"present",12.3769170334784
"623","c24","lh","prculs_v",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"624","c24","lh","prcus_a",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"625","c24","lh","prcus_i",0,156,109,387,4.068,0.456,0.089,0.026,1,0.1,-0.148035779595375,0.165265560150146,-0.0760309621691704,0.813645899295807,"present",5.40732668320688
"626","c24","lh","prcus_p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"627","c24","lh","spls",0,240,169,475,2.963,0.87,0.094,0.018,1,0.2,-0.0776670500636101,0.153394430875778,-0.0398896932601929,0.59267258644104,"present",3.98646594359957
"628","c24","lh","sspls_d",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"629","c24","lh","sspls_v",0,88,66,257,3.737,0.355,0.045,0.007,0,0,-0.320497691631317,-0.15014885365963,-0.164607152342796,0.747456312179565,"present",1.46355938338068
"630","c24","lh","w",0,168,122,228,1.976,0.429,0.066,0.009,0,0.1,0.419547885656357,0.779744923114777,0.215479210019112,0.3951416015625,"present",14.2228079422123
"631","c24","rh","icgs_p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"632","c24","rh","ifrms",0,46,33,109,2.995,0.26,0.075,0.013,0,0,-0.314450591802597,-0.202069669961929,-0.155031263828278,0.59899365901947,"present",1.39745453888755
"633","c24","rh","isms",0,88,70,238,3.42,0.634,0.101,0.019,0,0.1,-0.269726663827896,-0.193976610898972,-0.132981359958649,0.683961153030396,"present",2.55699307869258
"634","c24","rh","mcgs",0,1744,1193,1998,2.102,0.762,0.082,0.016,7,1,0.637822687625885,1.53927886486053,0.314461022615433,0.420350760221481,"present",16.7404332986501
