"","sub","hemi","label","X","vertices","total_surface_area_.mm.2.","total_gray_matter_volume_.mm.3.","cortical_thickness_mean","cortical_thickness_std","rectified_mean_curvature","rectified_Gaussian_curvature","folding_index","intrinsic_curvature_index","sulcal_depth_mean","sulcal_depth_max","sulcal_depth_mean_pct","cortical_thickness_mean_pct","sulcal_depth_mm"
"89","c16","rh","mcgs_mb",0,712,495,991,2.267,0.632,0.076,0.009,2,0.2,0.620145499706268,1.45878338813782,0.301834553480148,0.453431367874146,19.7955911440043
"90","c16","rh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","c17","lh","mcgs_db",0,460,321,522,1.614,0.426,0.085,0.01,2,0.2,0.280278354883194,1.05625689029694,0.136629357933998,0.322797298431396,14.4180993765368
"92","c17","lh","mcgs_mb",0,904,626,1005,1.7,0.441,0.078,0.011,3,0.4,0.645949125289917,1.51671624183655,0.314885556697845,0.339965552091599,18.3733991030522
"93","c17","lh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","c17","rh","mcgs_db",0,474,338,507,1.595,0.486,0.082,0.01,2,0.1,0.27329695224762,1.04497110843658,0.134773582220078,0.318992972373962,14.3932971262011
"95","c17","rh","mcgs_mb",0,1046,742,1333,1.974,0.627,0.077,0.009,3,0.4,0.676963210105896,1.52240014076233,0.333837449550629,0.39488485455513,16.6939556964948
"96","c17","rh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","c18","lh","mcgs_db",0,194,129,275,1.992,0.525,0.072,0.009,1,0.1,0.0184899270534515,0.591522693634033,0.00793556869029999,0.398469269275665,10.6291347346805
"98","c18","lh","mcgs_mb",0,999,675,1329,2.115,0.705,0.074,0.008,3,0.3,0.581103324890137,1.4513236284256,0.249399974942207,0.423087894916534,18.1683979088485
"99","c18","lh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","c18","rh","mcgs_db",0,433,297,578,1.98,0.434,0.059,0.007,1,0.1,0.287657350301743,1.26212430000305,0.121443271636963,0.396078109741211,16.6931258437479
"101","c18","rh","mcgs_mb",0,1112,779,1728,2.52,0.715,0.08,0.011,4,0.4,0.688548505306244,1.48910510540009,0.290691584348679,0.50408273935318,14.3273558731834
"102","c18","rh","mcgs_sb",0,89,63,148,2.715,0.261,0.086,0.009,0,0,0.376677483320236,0.763888418674469,0.159025818109512,0.542959809303284,11.2548913713853
"103","c19","lh","mcgs_db",0,440,301,573,1.967,0.418,0.054,0.006,1,0.1,0.401611506938934,1.19372344017029,0.207552388310432,0.39340341091156,17.1488005425024
"104","c19","lh","mcgs_mb",0,411,269,437,1.795,0.47,0.08,0.009,1,0.2,0.524081647396088,1.32587063312531,0.270844846963882,0.358967363834381,18.1402118218102
"105","c19","lh","mcgs_sb",0,39,31,99,2.783,0.448,0.076,0.009,0,0,0.427008152008057,0.697850525379181,0.220677345991135,0.556577026844025,12.2379367754783
"106","c19","rh","mcgs_db",0,636,428,714,1.803,0.41,0.066,0.008,1,0.2,0.54537695646286,1.3063577413559,0.272100508213043,0.360560327768326,14.7872062383745
"107","c19","rh","mcgs_mb",0,351,250,573,2.495,0.514,0.08,0.01,1,0.1,0.346906661987305,1.32268726825714,0.173079341650009,0.498950064182281,15.2021798155656
"108","c19","rh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","c20","lh","mcgs_db",0,400,281,546,2.358,0.72,0.094,0.011,2,0.2,0.498938262462616,1.19314587116241,0.258490175008774,0.471575349569321,12.6967433982063
"110","c20","lh","mcgs_mb",0,1002,697,986,1.627,0.669,0.083,0.01,4,0.4,0.598345935344696,1.50337040424347,0.309991359710693,0.325380116701126,15.0753103129762
"111","c20","lh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","c20","rh","mcgs_db",0,273,192,301,1.698,0.477,0.068,0.007,1,0.1,0.328173041343689,1.02696859836578,0.165312677621841,0.339588165283203,13.4061005378507
"113","c20","rh","mcgs_mb",0,858,608,1005,2.005,0.624,0.092,0.01,4,0.4,0.860821068286896,1.57201373577118,0.43362683057785,0.40109595656395,14.4294324223286
"114","c20","rh","mcgs_sb",0,62,47,124,2.798,0.481,0.084,0.013,0,0,0.39235657453537,0.692787766456604,0.197644203901291,0.559509456157684,10.2701098852548
"115","c21","lh","mcgs_db",0,434,324,727,2.474,0.436,0.067,0.009,1,0.2,0.564501404762268,1.30170297622681,0.28827428817749,0.494734674692154,17.2597759619581
"116","c21","lh","mcgs_mb",0,900,628,1253,2.183,0.648,0.081,0.012,2,0.4,0.694108366966248,1.4624639749527,0.354460716247559,0.436548680067062,19.2218211279624
"117","c21","lh","mcgs_sb",0,435,312,587,1.926,0.691,0.098,0.015,2,0.2,0.35811248421669,1.10030949115753,0.182877510786057,0.385250389575958,12.8764951242945
"118","c21","rh","mcgs_db",0,427,294,632,2.16,0.483,0.059,0.007,1,0.1,0.481858015060425,1.35278701782227,0.251580774784088,0.432017534971237,15.3193455473577
"119","c21","rh","mcgs_mb",0,818,563,938,1.809,0.527,0.088,0.013,3,0.5,0.651894092559814,1.47270822525024,0.340357542037964,0.361898869276047,15.868933254595
"120","c21","rh","mcgs_sb",0,498,351,635,1.992,0.68,0.09,0.014,2,0.3,0.406041592359543,1.10815143585205,0.211996540427208,0.3984514772892,13.2649406264202
"121","c22","lh","mcgs_db",0,364,247,540,2.351,0.579,0.104,0.021,2,0.2,0.0393911935389042,0.704823136329651,0.0190022010356188,0.470108538866043,9.4328271329384
"122","c22","lh","mcgs_mb",0,951,660,981,1.605,0.531,0.084,0.013,4,0.4,0.588089823722839,1.44886469841003,0.283692985773087,0.321020603179932,17.507321344029
"123","c22","lh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
