,sub,hemi,label,X,vertices,total_surface_area_.mm.2.,total_gray_matter_volume_.mm.3.,cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct,sulcal_depth_mm
253,112920,lh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,112920,lh,mcgs_mb,0,856,610,1143,2.135,0.285,0.094,0.012,4,0.4,0.475675314664841,1.31897640228271,0.266421109437943,0.42697486281395,17.2813778196499
255,112920,lh,mcgs_sb,0,114,85,224,2.772,0.45,0.11,0.022,1,0.1,0.293840020895004,0.640516877174377,0.164576917886734,0.554335653781891,7.8971536041748
256,112920,rh,mcgs_db,0,525,391,763,2.135,0.341,0.108,0.014,3,0.4,0.10059330612421,0.657061517238617,0.0534403398633003,0.427003592252731,10.9932650406979
257,112920,rh,mcgs_mb,0,695,483,945,2.304,0.369,0.1,0.012,3,0.4,0.559958457946777,1.32773673534393,0.297478765249252,0.460753917694092,14.5407591391899
258,112920,rh,mcgs_sb,0,183,135,336,2.679,0.369,0.119,0.028,1,0.2,0.499678552150726,1.03909397125244,0.265454977750778,0.535763084888458,8.4776236251102
259,114924,lh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,114924,lh,mcgs_mb,0,1066,765,1435,2.178,0.355,0.094,0.014,4,0.6,0.506994128227234,1.24063527584076,0.277453154325485,0.435511767864227,14.7072018148831
261,114924,lh,mcgs_sb,0,82,70,184,2.492,0.256,0.143,0.023,0,0.1,0.473392426967621,0.792218923568726,0.259064584970474,0.498440265655518,9.2968800991269
262,114924,rh,mcgs_db,0,170,124,291,2.296,0.411,0.116,0.018,1,0.1,0.194844171404839,0.745643258094788,0.106865212321281,0.459212809801102,7.85275921784785
263,114924,rh,mcgs_mb,0,1106,771,1538,2.333,0.373,0.092,0.013,5,0.7,0.582842826843262,1.31526029109955,0.319668918848038,0.466512352228165,12.9883546146824
264,114924,rh,mcgs_sb,0,44,36,118,2.948,0.297,0.12,0.025,0,0,0.4154272377491,0.595846354961395,0.227847322821617,0.589557409286499,8.65065267232988
265,120111,lh,mcgs_db,0,572,398,740,1.957,0.232,0.088,0.008,2,0.2,0.411267936229706,1.19884252548218,0.235873028635979,0.391349792480469,15.4851914972465
266,120111,lh,mcgs_mb,0,698,477,945,2.247,0.287,0.076,0.009,2,0.3,0.676305115222931,1.40328180789948,0.387878865003586,0.449426680803299,17.9704279768517
267,120111,lh,mcgs_sb,0,102,77,211,2.838,0.237,0.106,0.015,0,0.1,0.286321341991425,0.662779569625854,0.164212808012962,0.567578017711639,9.71502436311589
268,120111,rh,mcgs_db,0,90,70,150,2.236,0.253,0.111,0.017,1,0.1,0.117656700313091,0.522085666656494,0.0639366135001183,0.447225958108902,9.30333601707284
