"","sub","hemi","species","insula_depth"
"42","nc14","lh","chimpanzee",31.4087581826191
"43","nc15","lh","chimpanzee",29.6456830562183
"44","nc16","lh","chimpanzee",33.1596227852605
"45","nc17","lh","chimpanzee",31.7460004372429
"46","nc18","lh","chimpanzee",30.4668575988948
"47","nc19","lh","chimpanzee",32.9283743224663
"48","nc20","lh","chimpanzee",26.5323664061455
"49","nc21","lh","chimpanzee",32.9916468050601
"50","nc22","lh","chimpanzee",30.2245766971779
"51","nc23","lh","chimpanzee",29.1908486857259
"52","nc24","lh","chimpanzee",32.0612596967282
"53","nc25","lh","chimpanzee",30.208461882225
"54","nc26","lh","chimpanzee",26.0181360496314
"55","nc27","lh","chimpanzee",31.5976858548839
"56","nc28","lh","chimpanzee",29.3513252423725
"57","nc29","lh","chimpanzee",27.9107656624091
"58","nc30","lh","chimpanzee",24.4926406502246
"59","nc31","lh","chimpanzee",28.5172340704145
"60","nc32","lh","chimpanzee",29.5889260060101
"61","c01","rh","chimpanzee",31.566243366834
"62","c02","rh","chimpanzee",30.8157549731805
"63","c03","rh","chimpanzee",30.1468482673307
"64","c04","rh","chimpanzee",30.3704416960778
"65","c05","rh","chimpanzee",32.4574095733053
"66","c06","rh","chimpanzee",31.3063658732557
"67","c07","rh","chimpanzee",32.1294734443551
"68","c09","rh","chimpanzee",30.7059426340988
"69","c10","rh","chimpanzee",31.9853433295065
"70","c11","rh","chimpanzee",30.975685222916
"71","c12","rh","chimpanzee",29.6297223308081
"72","c13","rh","chimpanzee",29.7591257481044
"73","c14","rh","chimpanzee",31.7278986334519
"74","c15","rh","chimpanzee",29.3498360457594
"75","c16","rh","chimpanzee",33.1382537640219
"76","c17","rh","chimpanzee",30.384800711156
"77","c18","rh","chimpanzee",30.306149497828
"78","c19","rh","chimpanzee",27.8687870135059
"79","c20","rh","chimpanzee",30.8227996904288
"80","c21","rh","chimpanzee",30.8552155527473
"81","c22","rh","chimpanzee",29.5839453120983
"82","c23","rh","chimpanzee",30.7831991777512
"83","c24","rh","chimpanzee",31.635990209681
"84","c25","rh","chimpanzee",30.6932225027335
"85","c26","rh","chimpanzee",33.742332681001
"86","c27","rh","chimpanzee",29.6058577632261
"87","c28","rh","chimpanzee",29.8191089814851
"88","c29","rh","chimpanzee",29.6233340946577
"89","c30","rh","chimpanzee",31.6774653219377
"90","nc02","rh","chimpanzee",33.1720019945175
"91","nc03","rh","chimpanzee",32.2840049200221
"92","nc04","rh","chimpanzee",25.3396969539311
"93","nc05","rh","chimpanzee",30.9656297038948
"94","nc06","rh","chimpanzee",30.4315833108842
"95","nc07","rh","chimpanzee",30.5655747358883
"96","nc08","rh","chimpanzee",33.6768031549934
"97","nc09","rh","chimpanzee",31.2760080138947
"98","nc10","rh","chimpanzee",28.6023570759328
"99","nc11","rh","chimpanzee",30.0529001806894
"100","nc12","rh","chimpanzee",29.340921364921
"101","nc13","rh","chimpanzee",30.476162705433
"102","nc14","rh","chimpanzee",32.5812933708052
"103","nc15","rh","chimpanzee",29.4279256871804
"104","nc16","rh","chimpanzee",16.4053394939672
"105","nc17","rh","chimpanzee",31.4025116885361
"106","nc18","rh","chimpanzee",31.1223005542291
"107","nc19","rh","chimpanzee",34.0483346955217
"108","nc20","rh","chimpanzee",27.4970443405598
"109","nc21","rh","chimpanzee",31.5732409409659
"110","nc22","rh","chimpanzee",30.0730479345487
"111","nc23","rh","chimpanzee",26.7642405643743
"112","nc24","rh","chimpanzee",31.0764362786698
"113","nc25","rh","chimpanzee",30.5784518243071
"114","nc26","rh","chimpanzee",27.3780517617728
"115","nc27","rh","chimpanzee",30.2383611714489
"116","nc28","rh","chimpanzee",25.8581577391866
"117","nc29","rh","chimpanzee",28.6735903516119
"118","nc30","rh","chimpanzee",27.2214672927514
"119","nc31","rh","chimpanzee",27.6203711249594
"120","nc32","rh","chimpanzee",29.3778186992008
